username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Real Madrid C. F.,14872237,2017-04-02 16:01:05,"88' !GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOL de @nachofi1990! 

#RealMadrid 3-0 @Alaves 

#HalaMadrid https://t.co/8QhtEyudeO",2678,RealMadrid,22785705,53,0.0,0.0
Real Madrid C. F.,14872237,2017-04-02 14:47:14,"31' !GOOOOOOOOOOOOOOOOOOOOOOOOOOOOL de @Benzema!

#RealMadrid 1-0 @Alaves

#RMLiga #HalaMadrid https://t.co/CEDPcc89as",3561,RealMadrid,22785705,53,0.0,0.0
Gareth Bale,740336334,2017-04-02 18:27:23,Really good win against a tough Alaves team! Looking forward to the midweek game now #HalaMadrid https://t.co/SKjxXodv2D,2242,HalaMadrid,11501876,111,0.1534722222222222,0.5583333333333333
Real Madrid C.F.,452155423,2017-04-02 16:24:40,"Three goals 
Three points 

#RMLiga #HalaMadrid https://t.co/RfTUInvWX2",1087,RMLiga,7051976,52,0.0,0.0
Real Madrid C.F.,452155423,2017-04-02 11:42:08," HOME.

#HalaMadrid https://t.co/On7KI5vlz3",1829,HalaMadrid,7051976,52,0.0,0.0
Real Madrid C.F.,452155423,2017-04-02 16:00:55,"88' GOOOOOOOOOOAL by @nachofi1990!!!

#RealMadrid 3-0 @Alaves 

#RMLiga #HalaMadrid https://t.co/j3mZmWDgpi",1064,RealMadrid,7051976,52,0.0,0.0
Real Madrid C.F.,452155423,2017-04-02 15:58:12,"85' GOLAZOOOOOO by @isco_alarcon!!!

#RealMadrid 2-0 @Alaves 

#RMLiga #HalaMadrid https://t.co/hddTIvqkn7",1198,RealMadrid,7051976,52,0.0,0.0
Real Madrid C.F.,452155423,2017-04-03 15:00:02,"[?] Yesterday's victory means we've scored in 50 consecutive matches!

#HalaMadrid  

https://t.co/hJLHf72Zuh",161,HalaMadrid,7051976,52,0.0,0.0
Real Madrid C.F.,452155423,2017-04-04 00:00:25,"These finishes! 

 @MarceloM12
 @AlvaroMorata

#RMCity #HalaMadrid https://t.co/j7Ipd1QfOQ",190,RMCity,7051976,52,0.0,0.0
Real Madrid C.F.,452155423,2017-04-02 19:00:02,"7 Juanito 
We won't forget you.

#HalaMadrid https://t.co/XSB2rc841M",286,HalaMadrid,7051976,52,0.0,0.0
Real Madrid C.F.,452155423,2017-04-02 14:05:01,"[?][?][?][?] #RMLiga 
We're ten minutes away from kick-off here at the Bernabeu!

VAMOS REAL!

#HalaMadrid https://t.co/gEaNob9Vnd",216,RMLiga,7051976,52,0.125,0.15000000000000002
Real Madrid C.F.,452155423,2017-04-02 14:16:48,"[?]1[?] #RMLiga
#RealMadrid - @Alaves is underway!

#HALAMADRID!!! https://t.co/SJ0c1ZYUuK",272,RMLiga,7051976,52,0.0,0.0
Real Madrid C.F.,452155423,2017-04-02 15:59:37,".@isco_alarcon @Alaves [?][?] What a  into the roof of the net by @isco_alarcon! @Cristiano with the assist. BOOM!

#RMLiga #HalaMadrid",222,RMLiga,7051976,52,0.0,0.0
Real Madrid C.F.,452155423,2017-04-03 14:23:23,"[?]  RMCity
First session in preparation for our trip to Butarque to face @CDLeganes on Wednesday! 

#HalaMadrid https://t.co/AGFsy6MTVq",132,HalaMadrid,7051976,52,0.3125,0.3333333333333333
Real Madrid C.F.,452155423,2017-04-02 12:15:31," #RMLiga
Our dressing room is all set for the players!

#HalaMadrid https://t.co/MYi3iUnT25",240,RMLiga,7051976,52,0.0,0.0
Bashir Ahmad,104296908,2017-04-02 11:25:49,"Best club on the field. Best club on the social network. Overall, best club in the world. #HalaMadrid[?][?] https://t.co/0wZmqyzj4p",22,HalaMadrid,38406,399,0.6066666666666667,0.1933333333333333
Real Madrid C.F.,452155423,2017-04-01 21:38:51,"100 MILLION FACEBOOK FANS
 1st Brand 
[?] 1st Sports Club
 #HalaMadrid https://t.co/TNY5Kefnyk",1065,HalaMadrid,7051976,52,0.0,0.0
Real Madrid C.F.,452155423,2017-03-30 07:00:24," !@SergioRamos turns 31 today! 

 HAPPY BIRTHDAY CAPTAIN! 

#HalaMadrid https://t.co/Zs4VCSsQjP",3436,HalaMadrid,7051976,52,1.0,1.0
Real Madrid C.F.,452155423,2017-04-01 22:39:18," We are now 100 MILLION #RMFans on Facebook!

 THANK YOU! 

#HalaMadrid 

https://t.co/XlxuAEKT3Y",477,RMFans,7051976,52,0.0,0.0
Real Madrid C. F.,14872237,2017-04-01 18:03:11,"#RealMadrid 1[?]8[?] 
 @Alaves
 Sunday / Domingo
[?] 16:15 CEST
 Santiago Bernabeu
 LaLiga

#RMMovistar... https://t.co/dPnEd6sPBE",1358,RealMadrid,22785705,53,0.0,0.0
Real Madrid C.F.,452155423,2017-03-29 18:14:04," #RMCity
We welcomed more of our international stars back to training today!

#HalaMadrid https://t.co/FdtK6oXi2W",274,RMCity,7051976,52,0.16666666666666666,0.16666666666666666
Real Madrid C.F.,452155423,2017-03-25 23:56:36,"[?]
@Cristiano scored twice in Portugal's 3-0 win  Hungary this evening!

 https://t.co/sbh2R6cFDl

#HalaMadrid https://t.co/K5BzXgnoPV",1051,HalaMadrid,7051976,52,1.0,0.4
Karim Benzema,1964571728,2017-03-28 13:39:38,Training today ! @realmadrid #HalaMadrid https://t.co/HAU2VRtQs3,840,HalaMadrid,5228486,50,0.0,0.0
Real Madrid C.F.,452155423,2017-03-30 20:00:39,"
#RMCity Grand Slam!

#HalaMadrid https://t.co/A6fSjhklaM",1178,RMCity,7051976,52,0.625,1.0
Karim Benzema,1964571728,2017-04-01 11:56:47,Ready !!!  @realmadrid #HalaMadrid https://t.co/FdLhPC3Ugh,1866,HalaMadrid,5228486,50,0.390625,0.5
Real Madrid C.F.,452155423,2017-03-27 20:30:29," strikes!

 @Benzema
 @Fabio_Coentrao
 @Lucasvazquez91

#RMCity #HalaMadrid https://t.co/JBPEGR3yAg",796,RMCity,7051976,52,0.0,0.0
Real Madrid Basket,1147824680,2017-04-02 09:20:00,"[?][?][?]5[?] #RMBaloncesto 
Going for the fifth win in a row against @BFuenlabrada 

https://t.co/5BHKVpz6Bq

#HalaMadrid https://t.co/DBj8BRSk5L",8,RMBaloncesto,387958,29,0.8,0.4
Real Madrid C.F.,452155423,2017-04-01 17:42:17, Follow us at https://t.co/IelFpEXOhu to be in with a chance of winning a signing @Cristiano Ronaldo shirt!! [?]... https://t.co/RNn0NSgwrz,303,None,7051976,52,0.78125,0.75
Real Madrid C.F.,452155423,2017-03-29 08:52:07,"
@jamesdrodriguez grabbed a goal and an assist in Colombia's 2-0 win  Ecuador last night! 

... https://t.co/ijfFGeNXan",268,None,7051976,52,0.4,0.23333333333333334
Real Madrid C.F.,452155423,2017-03-25 14:00:03," #HalaMadrid
Three Champions League winners!

!Tres campeones de la Champions!

 @TheRealSalgado
... https://t.co/vOZcPwMZaU",558,HalaMadrid,7051976,52,0.0,0.0
Real Madrid C.F.,452155423,2017-03-25 09:33:43,"[?][?]
Click the link below to find out how the madridistas on international duty got on last night.

... https://t.co/RSzryGFOWc",102,None,7051976,52,0.0,0.03333333333333333
Real Madrid C.F.,452155423,2017-03-25 10:16:44,"[?]
#RealMadrid Legends take on @LFC Legends at Anfield at 4pm CET today!

 https://t.co/10ZDRK1llm

#HalaMadrid https://t.co/IwCV4H1nJq",128,RealMadrid,7051976,52,0.0,0.0
